Trial,Gen,Search_Space,sil_score,reg_acc,Pareto_Front
1,0,6,0.29628700327730795,0.7,"[35279260432, 45174575591]"
1,1,12,0.3108767906318797,0.7,"[35279260432, 35212126592]"
1,2,18,0.31619038837372593,0.7250000000000001,"[112013898178, 35279260432]"
1,3,24,0.31619038837372593,0.7250000000000001,"[112013898178, 35279260432]"
1,4,30,0.31924982602403945,0.7250000000000001,"[112013898178, 471795561829]"
2,0,6,0.2723553669493927,0.73125,"[1042967665283, 254409290422]"
2,1,12,0.2837631069411775,0.7125,"[424487852161, 254409290422, 1042967665283]"
2,2,18,0.303274491144718,0.7125,"[424487852161, 1042967665291]"
2,3,24,0.28607697255632136,0.7291666666666666,"[424487852161, 1042967665291, 493209426059]"
2,4,30,0.2927911110611566,0.690625,"[424487852161, 1042967665291, 493209425931, 493209426051]"
